"","ac","ap","bc","bp","comb_div","clin_div","pat_div"
"70",2.28975499233669,2.16183343566121,0.979825687560017,1.40393939393939,0.00468353154007891,0.390162880355927,0.0599799829687541
"71",2.28024451575765,2.16707962147935,0.952412533638665,1.42414141414141,0.0046730382296036,0.411659203570727,0.0550826995440925
"72",2.27052005784866,2.17236724360298,0.92471960980624,1.44434343434343,0.00466167194224158,0.434186053515895,0.0504717900855345
"73",2.26075275847499,2.17766102653683,0.896808583116592,1.46454545454545,0.00464942013666563,0.457823471409534,0.0461306707960329
"74",2.25063936979878,2.18304108887313,0.868592521072423,1.48474747474747,0.00463626950105516,0.482533466855364,0.0420656237850562
"75",2.24043724600715,2.18840379850502,0.840092644008049,1.5049494949495,0.00462220605849654,0.508495180199732,0.0382481066732076
"76",2.23019118124806,2.19372970197528,0.811280367253101,1.52515151515152,0.00460721476466676,0.535825036293239,0.0346677430951063
"77",2.21939439226926,2.19914123047297,0.781993291230402,1.54535353535354,0.00459127974918502,0.564465576356359,0.0313368757949224
"78",2.2089973188689,2.20445127369585,0.752573216269455,1.56555555555556,0.00457438341000997,0.594654598304441,0.0282188133405572
"79",2.1980457256305,2.2098577477163,0.722657106576008,1.58575757575758,0.00455650753037814,0.626305038495474,0.0253359303447321
"80",2.18608345535103,2.21490589390989,0.691247835799408,1.6059595959596,0.00453764313736212,0.66054887884628,0.0226218243742447
"81",2.17565736324893,2.22063277995961,0.661518795806904,1.62616161616162,0.00451773395841295,0.694806226152555,0.0201996165132988
"82",2.1639726690828,2.22607676676695,0.630217898576042,1.64636363636364,0.00449678982679947,0.73175623848,0.0179417349007685
"83",2.15213137746004,2.23150502771971,0.598344436895536,1.66656565656566,0.00447477227493392,0.770849233759264,0.0158756540653311
"84",2.13993571959458,2.23691460025796,0.565835257506357,1.68676767676768,0.00445165090227797,0.812137875496488,0.0139954025112495
"85",2.12731398195943,2.24237316534865,0.53259907129668,1.7069696969697,0.0044273914325816,0.855808338227191,0.0123009751724195
"86",2.11421439687367,2.24773975047396,0.498312496006881,1.72717171717172,0.00440195507721062,0.902448323940498,0.0107751525180382
"87",2.10060799429385,2.25336745122188,0.46359330144901,1.74737373737374,0.00437529400354896,0.951124539210602,0.00943726515855782
"88",2.08682773065054,2.2587719383584,0.427482848132174,1.76757575757576,0.00434735567254453,1.00371987976053,0.00824833592286647
"89",2.0726297433608,2.26422703389617,0.390087556382068,1.78777777777778,0.00431807384772141,1.05998161658376,0.00722166755034086
"90",2.05616292481698,2.26982217216926,0.350824856599691,1.8079797979798,0.0042873657225845,1.1198664885356,0.00635455669638318
"91",2.03926521013938,2.27533216092009,0.309468110406364,1.82818181818182,0.00425512639876369,1.18492558007577,0.00563142067777602
"92",2.02038035439562,2.28085094451605,0.265051321431788,1.84838383838384,0.00422121213262443,1.25587046549986,0.00505178479149627
"93",1.99945729709714,2.28643098869308,0.216663039350353,1.86858585858586,0.00418541430293647,1.33385247918017,0.00461174372487602
"94",1.97473875827294,2.29160268040767,0.159773843570579,1.88878787878788,0.00414738484592491,1.42448360231787,0.00430029563683299
"95",1.88846430374977,2.2966724750295,0.0769777099854797,1.9089898989899,0.0041064643068201,1.53549690581488,0.0041229840102407
"96",1.91443111411701,2.30901345415348,0,1.92919191919192,0.00406455336498545,NA,0.00406455336498545
